equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,scuttled to prevent capture by Russia,sunk,sunk but raised by Russia
Tanks,T-64A,,the Soviet Union,1,,,,1.0,,,,,,,,,
Tanks,T-64B,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
Tanks,T-64BV,,the Soviet Union,200,,3.0,,52.0,8.0,15.0,2.0,4.0,,116.0,,,
Tanks,T-64BV Zr. 2017,,Ukraine,58,,3.0,,31.0,,1.0,1.0,,,22.0,,,
Tanks,T-64BVK,,the Soviet Union,1,,,,1.0,,,,,,,,,
Tanks,T-64B1M,,Ukraine,8,,,,7.0,,,,,,1.0,,,
Tanks,T-64BM 'Bulat',,Ukraine,10,,,,4.0,,1.0,,,,5.0,,,
Tanks,T-64BM2 'Bulat',,Ukraine,5,,,,,,1.0,,,,4.0,,,
Tanks,Uknown T-64,,the Soviet Union,2,,,,,,,,,,2.0,,,
Tanks,T-72 'Ural',,the Soviet Union,3,,,,1.0,,1.0,,,,1.0,,,
Tanks,T-72M/M1(R),,Poland,40,,1.0,,7.0,,1.0,4.0,,,27.0,,,
Tanks,T-72AV,,the Soviet Union,13,,,,4.0,,,,1.0,,8.0,,,
Tanks,T-72B,,the Soviet Union,28,,,,7.0,,2.0,,1.0,,18.0,,,
Tanks,T-72AMT,,Ukraine,14,,,,4.0,,1.0,1.0,1.0,,7.0,,,
Tanks,Unknown T-72,,the Soviet Union,1,,,,,,,,,,1.0,,,
Tanks,T-80BV,,the Soviet Union,40,,1.0,,9.0,,3.0,1.0,5.0,,21.0,,,
Tanks,Unknown tank,,Ukraine,31,,,,,,1.0,,,,30.0,,,
Armoured Fighting Vehicles,BRM-1 and BRM-1K reconnaissance vehicle,,the Soviet Union,34,,2.0,,11.0,,1.0,1.0,1.0,,18.0,,,
Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,57,,,,32.0,,,,,,25.0,,,
Armoured Fighting Vehicles,BRDM-2L1,,Ukraine,38,,,,15.0,,1.0,,,,22.0,,,
Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,,the Soviet Union,10,,,,2.0,,,,,,8.0,,,
Armoured Fighting Vehicles,MT-T multi-purpose tracked transporter,,the Soviet Union,1,,,,,,1.0,,,,,,,
Armoured Fighting Vehicles,Vepr,,Ukraine,3,,,,1.0,,,,,,2.0,,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,37,,1.0,,5.0,,,,,,31.0,,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,10,,,,2.0,,,,,,8.0,,,
Armoured Fighting Vehicles,BTS-4 ARV with ZU-23 AA gun,,the Soviet Union,1,,,,1.0,,,,,,,,,
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,5,,,,2.0,,,,,,3.0,,,
Armoured Fighting Vehicles,MT-LB-S Ambulance,,Ukraine,15,,1.0,,4.0,,,,,,10.0,,,
Armoured Fighting Vehicles,BMM-70 Ambulance,,Ukraine,1,,,,,,,,,,1.0,,,
Armoured Fighting Vehicles,BMM-4C Ambulance,,Ukraine,3,,,,2.0,,,,,,1.0,,,
Armoured Fighting Vehicles,Unknown AFV,,Ukraine,45,,,,,,,,,,45.0,,,
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,238,,13.0,1.0,43.0,,5.0,1.0,1.0,,174.0,,,
Infantry Fighting Vehicles,BMP-1TS,,Ukraine,1,,,,,,,,,,1.0,,,
Infantry Fighting Vehicles,BMP-1U 'Shkval',,Ukraine,1,,,,1.0,,,,,,,,,
Infantry Fighting Vehicles,BWP-1,,Poland,1,,,,,,,,,,1.0,,,
Infantry Fighting Vehicles,Pbv 501A,,Sweden,3,,,,,,,,,,3.0,,,
Infantry Fighting Vehicles,BVP M-80A,,Slovenia,2,,,,,,2.0,,,,,,,
Infantry Fighting Vehicles,BMP-2(K),,the Soviet Union,98,,6.0,,21.0,,1.0,1.0,,,69.0,,,
Infantry Fighting Vehicles,Unknown BMP-1/2,,Ukraine,13,,,,,,,,,,13.0,,,
Infantry Fighting Vehicles,BMD-2,,the Soviet Union,4,,,,3.0,,,,,,1.0,,,
Infantry Fighting Vehicles,BTR-ZD,,the Soviet Union,1,,,,,,,,,,1.0,,,
Infantry Fighting Vehicles,BTR-3,,Ukraine,38,,,,11.0,,1.0,,,,26.0,,,
Infantry Fighting Vehicles,BTR-4,,Ukraine,71,,2.0,,22.0,3.0,3.0,3.0,,,38.0,,,
Armoured Personnel Carriers,BTR-60PB,,the Soviet Union,17,,,,7.0,,,,1.0,,9.0,,,
Armoured Personnel Carriers,BTR-70,,the Soviet Union,28,,,,12.0,,4.0,,,,12.0,,,
Armoured Personnel Carriers,BTR-70M,,Ukraine,20,,1.0,,11.0,,,,,,8.0,,,
Armoured Personnel Carriers,BTR-7,,Ukraine,11,,,,9.0,,,,,,2.0,,,
Armoured Personnel Carriers,BTR-80,,the Soviet Union,92,,,,33.0,,1.0,,2.0,,56.0,,,
Armoured Personnel Carriers,BTR-80M,,Ukraine,2,,,,2.0,,,,,,,,,
Armoured Personnel Carriers,BTR-D,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
Armoured Personnel Carriers,GT-MU AFV converted to APC,,the Soviet Union,1,,,,1.0,,,,,,,,,
Armoured Personnel Carriers,Unknown BTR,,Ukraine,5,,1.0,,,,,,,,4.0,,,
Armoured Personnel Carriers,YPR-765,,the Netherlands,18,,1.0,,2.0,,4.0,,,,11.0,,,
Armoured Personnel Carriers,M113,,the United States,18,,,,2.0,,,2.0,,,14.0,,,
Armoured Personnel Carriers,VAB,,France,6,,,,,,1.0,3.0,,,2.0,,,
Armoured Personnel Carriers,Sisu XA-185,,Finland,3,,,,1.0,,,,,,2.0,,,
Mine-Resistant Ambush Protected,Vepr,,Ukraine,1,,,,1.0,,,,,,,,,
Mine-Resistant Ambush Protected,KrAZ-MPV Shrek One,,Ukraine,2,,,,1.0,,,,,,1.0,,,
Mine-Resistant Ambush Protected,Alvis 4 'Mamba',,the United Kingdom,3,,,,1.0,,,,,,2.0,,,
Mine-Resistant Ambush Protected,Mastiff Protected Patrol,,the United Kingdom,7,,,,,,1.0,,,,6.0,,,
Mine-Resistant Ambush Protected,Wolfhound Protected Patrol,,the United Kingdom,2,,,,,,,,,,2.0,,,
Mine-Resistant Ambush Protected,Bushmaster Protected Mobility Vehicle,,Australia %28converted%29,6,,,,,,2.0,,,,4.0,,,
Mine-Resistant Ambush Protected,International M1224 MaxxPro,,the United States,11,,1.0,,,,3.0,,,,7.0,,,
Mine-Resistant Ambush Protected,BMC Kirpi,,Turkey,9,,,,1.0,,1.0,1.0,1.0,,5.0,,,
Infantry Mobility Vehicles,KrAZ Cobra,,Ukraine,11,,,,6.0,,,,,,5.0,,,
Infantry Mobility Vehicles,KrAZ Cougar,,Ukraine,6,,,,4.0,,,,,,2.0,,,
Infantry Mobility Vehicles,KrAZ Spartan,,Ukraine,10,,,,,,,,,,10.0,,,
Infantry Mobility Vehicles,Novator,,Ukraine,14,,,,3.0,,2.0,,,,9.0,,,
